EBn,ALL,CHINA,INDIA,MEXICO,PHILIPPINES,state,date,CENTRALAMERICA,VIETNAM
Religious Workers,,,,,,final,2017-5-1,,
5th non-regional,2017-5-1,2014-6-01,2017-5-1,2017-5-1,2017-5-1,final,2017-5-1,2017-5-1,
5th regional,,,,,,final,2017-5-1,,
1st,2017-5-1,2017-5-1,2017-5-1,2017-5-1,2017-5-1,filing,2017-5-1,,
2nd,2017-5-1,2013-10-01,2009-2-01,2017-5-1,2017-5-1,filing,2017-5-1,,
3rd,2017-5-1,2015-9-01,2006-4-22,2017-5-1,2014-7-01,filing,2017-5-1,,
Other Workers,2017-5-1,2008-6-01,2006-4-22,2017-5-1,2014-7-01,filing,2017-5-1,,
4th,2017-5-1,2017-5-1,2017-5-1,2017-5-1,2017-5-1,filing,2017-5-1,,
Religious Workers,2017-5-1,2017-5-1,2017-5-1,2017-5-1,2017-5-1,filing,2017-5-1,,
5th non-regional,2017-5-1,2014-9-01,2017-5-1,2017-5-1,2017-5-1,filing,2017-5-1,,
5th regional,2017-5-1,2014-9-01,2017-5-1,2017-5-1,2017-5-1,filing,2017-5-1,,
1st,2017-6-1,2012-1-01,2012-1-01,2017-6-1,2017-6-1,final,2017-6-1,2017-6-1,
2nd,2017-6-1,2013-3-01,2008-7-01,2017-6-1,2017-6-1,final,2017-6-1,2017-6-1,
3rd,2017-4-15,2014-10-01,2005-5-15,2017-4-15,2013-5-01,final,2017-6-1,2017-4-15,
Other Workers,2017-4-15,2006-7-15,2005-5-15,2017-4-15,2013-5-01,final,2017-6-1,2017-4-15,
4th,2017-6-1,2017-6-1,2017-6-1,2015-7-15,2017-6-1,final,2017-6-1,2015-7-15,
Religious Workers,2017-6-1,2017-6-1,2017-6-1,2015-7-15,2017-6-1,final,2017-6-1,2015-7-15,
5th non-regional,2017-6-1,2014-6-08,2017-6-1,2017-6-1,2017-6-1,final,2017-6-1,2017-6-1,
5th regional,2017-6-1,2014-6-08,2017-6-1,2017-6-1,2017-6-1,final,2017-6-1,2017-6-1,
1st,2017-6-1,2017-6-1,2017-6-1,2017-6-1,2017-6-1,filing,2017-6-1,,
2nd,2017-6-1,2013-10-01,2009-2-01,2017-6-1,2017-6-1,filing,2017-6-1,,
3rd,2017-6-1,2015-9-01,2006-4-22,2017-6-1,2014-7-01,filing,2017-6-1,,
Other Workers,2017-6-1,2008-6-01,2006-4-22,2017-6-1,2014-7-01,filing,2017-6-1,,
4th,2017-6-1,2017-6-1,2017-6-1,2017-6-1,2017-6-1,filing,2017-6-1,,
Religious Workers,2017-6-1,2017-6-1,2017-6-1,2017-6-1,2017-6-1,filing,2017-6-1,,
5th non-regional,2017-6-1,2014-9-01,2017-6-1,2017-6-1,2017-6-1,filing,2017-6-1,,
5th regional,2017-6-1,2014-9-01,2017-6-1,2017-6-1,2017-6-1,filing,2017-6-1,,
1st,2017-7-1,2012-1-01,2012-1-01,2017-7-1,2017-7-1,final,2017-7-1,2017-7-1,
2nd,2017-7-1,2013-3-22,2008-7-22,2017-7-1,2017-7-1,final,2017-7-1,2017-7-1,
3rd,2017-6-08,2012-1-01,2006-2-15,2017-6-08,2014-5-15,final,2017-7-1,2017-6-08,
Other Workers,2017-6-08,2006-7-15,2006-2-15,2017-6-08,2014-5-15,final,2017-7-1,2017-6-08,
4th,2017-7-1,2017-7-1,2015-8-15,2015-8-15,2017-7-1,final,2017-7-1,2015-8-15,
Religious Workers,2017-7-1,2017-7-1,2015-8-15,2015-8-15,2017-7-1,final,2017-7-1,2015-8-15,
5th non-regional,2017-7-1,2014-6-08,2017-7-1,2017-7-1,2017-7-1,final,2017-7-1,2017-7-1,
5th regional,2017-7-1,2014-6-08,2017-7-1,2017-7-1,2017-7-1,final,2017-7-1,2017-7-1,
1st,2017-7-1,2017-7-1,2017-7-1,2017-7-1,2017-7-1,filing,2017-7-1,,
2nd,2017-7-1,2013-10-01,2009-2-01,2017-7-1,2017-7-1,filing,2017-7-1,,
3rd,2017-7-1,2015-9-01,2006-10-01,2017-7-1,2015-7-01,filing,2017-7-1,,
Other Workers,2017-7-1,2008-6-01,2006-10-01,2017-7-1,2015-7-01,filing,2017-7-1,,
4th,2017-7-1,2017-7-1,2017-7-1,2017-7-1,2017-7-1,filing,2017-7-1,,
Religious Workers,2017-7-1,2017-7-1,2017-7-1,2017-7-1,2017-7-1,filing,2017-7-1,,
5th non-regional,2017-7-1,2014-9-01,2017-7-1,2017-7-1,2017-7-1,filing,2017-7-1,,
5th regional,2017-7-1,2014-9-01,2017-7-1,2017-7-1,2017-7-1,filing,2017-7-1,,
1st,2017-8-1,2012-1-01,2012-1-01,2017-8-1,2017-8-1,final,2017-8-1,2017-8-1,
2nd,2015-4-01,2013-4-22,2008-7-22,2015-4-01,2015-4-01,final,2017-8-1,2015-4-01,
3rd,2017-8-1,2012-1-01,2006-7-15,2017-8-1,2015-6-01,final,2017-8-1,2017-8-1,
Other Workers,2017-8-1,2004-1-01,2006-7-15,2017-8-1,2015-6-01,final,2017-8-1,2017-8-1,
4th,2017-8-1,2017-8-1,2015-9-15,2015-9-15,2017-8-1,final,2017-8-1,2015-9-15,
Religious Workers,2017-8-1,2017-8-1,2015-9-15,2015-9-15,2017-8-1,final,2017-8-1,2015-9-15,
5th non-regional,2017-8-1,2014-6-15,2017-8-1,2017-8-1,2017-8-1,final,2017-8-1,2017-8-1,
5th regional,2017-8-1,2014-6-15,2017-8-1,2017-8-1,2017-8-1,final,2017-8-1,2017-8-1,
1st,2017-8-1,2017-8-1,2017-8-1,2017-8-1,2017-8-1,filing,2017-8-1,,
2nd,2017-8-1,2013-10-01,2009-2-01,2017-8-1,2017-8-1,filing,2017-8-1,,
3rd,2017-8-1,2015-9-01,2007-1-01,2017-8-1,2016-1-01,filing,2017-8-1,,
Other Workers,2017-8-1,2008-6-01,2007-1-01,2017-8-1,2016-1-01,filing,2017-8-1,,
4th,2017-8-1,2017-8-1,2017-8-1,2017-8-1,2017-8-1,filing,2017-8-1,,
Religious Workers,2017-8-1,2017-8-1,2017-8-1,2017-8-1,2017-8-1,filing,2017-8-1,,
5th non-regional,2017-8-1,2014-9-01,2017-8-1,2017-8-1,2017-8-1,filing,2017-8-1,,
5th regional,2017-8-1,2014-9-01,2017-8-1,2017-8-1,2017-8-1,filing,2017-8-1,,
1st,2017-9-1,2012-1-01,2012-1-01,2017-9-1,2017-9-1,final,2017-9-1,2017-9-1,
2nd,2016-1-01,2013-5-15,2008-8-22,2016-1-01,2016-1-01,final,2017-9-1,2016-1-01,
3rd,2017-9-1,2012-1-01,2006-10-15,2017-9-1,2015-11-01,final,2017-9-1,2017-9-1,
Other Workers,2017-9-1,2004-1-01,2006-10-15,2017-9-1,2015-11-01,final,2017-9-1,2017-9-1,
4th,2017-9-1,2017-9-1,2015-10-22,2015-10-22,2017-9-1,final,2017-9-1,2015-10-22,
Religious Workers,2017-9-1,2017-9-1,2015-10-22,2015-10-22,2017-9-1,final,2017-9-1,2015-10-22,
5th non-regional,2017-9-1,2014-6-15,2017-9-1,2017-9-1,2017-9-1,final,2017-9-1,2017-9-1,
5th regional,2017-9-1,2014-6-15,2017-9-1,2017-9-1,2017-9-1,final,2017-9-1,2017-9-1,
1st,2017-9-1,2017-9-1,2017-9-1,2017-9-1,2017-9-1,filing,2017-9-1,,
2nd,2017-9-1,2013-10-01,2009-2-01,2017-9-1,2017-9-1,filing,2017-9-1,,
3rd,2017-9-1,2015-9-01,2007-1-01,2017-9-1,2016-1-01,filing,2017-9-1,,
Other Workers,2017-9-1,2008-6-01,2007-1-01,2017-9-1,2016-1-01,filing,2017-9-1,,
4th,2017-9-1,2017-9-1,2017-9-1,2017-9-1,2017-9-1,filing,2017-9-1,,
Religious Workers,2017-9-1,2017-9-1,2017-9-1,2017-9-1,2017-9-1,filing,2017-9-1,,
5th non-regional,2017-9-1,2014-9-01,2017-9-1,2017-9-1,2017-9-1,filing,2017-9-1,,
5th regional,2017-9-1,2014-9-01,2017-9-1,2017-9-1,2017-9-1,filing,2017-9-1,,
1st,2017-10-1,2017-10-1,2017-10-1,2017-10-1,2017-10-1,final,2017-10-1,2017-10-1,
2nd,2017-10-1,2013-5-22,2008-9-15,2017-10-1,2017-10-1,final,2017-10-1,2017-10-1,
3rd,2017-10-1,2014-1-01,2006-10-15,2017-10-1,2015-12-01,final,2017-10-1,2017-10-1,
Other Workers,2017-10-1,2006-1-01,2006-10-15,2017-10-1,2015-12-01,final,2017-10-1,2017-10-1,
4th,2017-10-1,2017-10-1,2017-10-1,2016-3-01,2017-10-1,final,2017-10-1,2015-11-01,
Religious Workers,2017-10-1,2017-10-1,2017-10-1,2016-3-01,2017-10-1,final,2017-10-1,2015-11-01,
5th non-regional,2017-10-1,2014-6-22,2017-10-1,2017-10-1,2017-10-1,final,2017-10-1,2017-10-1,
5th regional,2017-10-1,2014-6-22,2017-10-1,2017-10-1,2017-10-1,final,2017-10-1,2017-10-1,
1st,2017-10-1,2017-10-1,2017-10-1,2017-10-1,2017-10-1,filing,2017-10-1,2017-10-1,
2nd,2017-10-1,2013-11-15,2009-2-08,2017-10-1,2017-10-1,filing,2017-10-1,2017-10-1,
3rd,2017-10-1,2015-9-01,2008-1-01,2017-10-1,2016-8-01,filing,2017-10-1,2017-10-1,
Other Workers,2017-10-1,2008-6-01,2008-1-01,2017-10-1,2016-8-01,filing,2017-10-1,2017-10-1,
4th,2017-10-1,2017-10-1,2017-10-1,2017-10-1,2017-10-1,filing,2017-10-1,2016-4-15,
Religious Workers,2017-10-1,2017-10-1,2017-10-1,2017-10-1,2017-10-1,filing,2017-10-1,2016-4-15,
5th non-regional,2017-10-1,2014-10-01,2017-10-1,2017-10-1,2017-10-1,filing,2017-10-1,2017-10-1,
5th regional,2017-10-1,2014-10-01,2017-10-1,2017-10-1,2017-10-1,filing,2017-10-1,2017-10-1,
1st,2017-11-1,2017-11-1,2017-11-1,2017-11-1,2017-11-1,final,2017-11-1,2017-11-1,
2nd,2017-11-1,2013-6-15,2008-10-08,2017-11-1,2017-11-1,final,2017-11-1,2017-11-1,
3rd,2017-11-1,2014-2-01,2006-10-15,2017-11-1,2016-1-15,final,2017-11-1,2017-11-1,
Other Workers,2017-11-1,2006-4-01,2006-10-15,2017-11-1,2016-1-15,final,2017-11-1,2017-11-1,
4th,2017-11-1,2017-11-1,2017-11-1,2016-4-01,2017-11-1,final,2017-11-1,2015-11-01,
Religious Workers,2017-11-1,2017-11-1,2017-11-1,2016-4-01,2017-11-1,final,2017-11-1,2015-11-01,
5th non-regional,2017-11-1,2014-7-01,2017-11-1,2017-11-1,2017-11-1,final,2017-11-1,2017-11-1,
5th regional,2017-11-1,2014-7-01,2017-11-1,2017-11-1,2017-11-1,final,2017-11-1,2017-11-1,
1st,2017-11-1,2017-11-1,2017-11-1,2017-11-1,2017-11-1,filing,2017-11-1,2017-11-1,
2nd,2017-11-1,2013-11-15,2009-2-08,2017-11-1,2017-11-1,filing,2017-11-1,2017-11-1,
3rd,2017-11-1,2015-9-01,2008-1-01,2017-11-1,2016-8-01,filing,2017-11-1,2017-11-1,
Other Workers,2017-11-1,2008-6-01,2008-1-01,2017-11-1,2016-8-01,filing,2017-11-1,2017-11-1,
4th,2017-11-1,2017-11-1,2017-11-1,2017-11-1,2017-11-1,filing,2017-11-1,2016-4-15,
Religious Workers,2017-11-1,2017-11-1,2017-11-1,2017-11-1,2017-11-1,filing,2017-11-1,2016-4-15,
5th non-regional,2017-11-1,2014-10-01,2017-11-1,2017-11-1,2017-11-1,filing,2017-11-1,2017-11-1,
5th regional,2017-11-1,2014-10-01,2017-11-1,2017-11-1,2017-11-1,filing,2017-11-1,2017-11-1,
1st,2017-12-1,2017-12-1,2017-12-1,2017-12-1,2017-12-1,final,2017-12-1,2017-12-1,
2nd,2017-12-1,2013-7-01,2008-11-01,2017-12-1,2017-12-1,final,2017-12-1,2017-12-1,
3rd,2017-12-1,2014-3-08,2006-10-15,2017-12-1,2016-1-15,final,2017-12-1,2017-12-1,
Other Workers,2017-12-1,2006-7-01,2006-10-15,2017-12-1,2016-1-15,final,2017-12-1,2017-12-1,
4th,2017-12-1,2017-12-1,2017-12-1,2016-4-22,2017-12-1,final,2017-12-1,2015-11-08,
Religious Workers,2017-12-1,2017-12-1,2017-12-1,2016-4-22,2017-12-1,final,2017-12-1,2015-11-08,
5th non-regional,2017-12-1,2014-7-15,2017-12-1,2017-12-1,2017-12-1,final,2017-12-1,2017-12-1,
5th regional,2017-12-1,2014-7-15,2017-12-1,2017-12-1,2017-12-1,final,2017-12-1,2017-12-1,
1st,2017-12-1,2017-12-1,2017-12-1,2017-12-1,2017-12-1,filing,2017-12-1,2017-12-1,
2nd,2017-12-1,2013-11-15,2009-2-08,2017-12-1,2017-12-1,filing,2017-12-1,2017-12-1,
3rd,2017-12-1,2015-9-01,2008-1-01,2017-12-1,2016-8-01,filing,2017-12-1,2017-12-1,
Other Workers,2017-12-1,2008-6-01,2008-1-01,2017-12-1,2016-8-01,filing,2017-12-1,2017-12-1,
4th,2017-12-1,2017-12-1,2017-12-1,2017-12-1,2017-12-1,filing,2017-12-1,2016-4-15,
Religious Workers,2017-12-1,2017-12-1,2017-12-1,2017-12-1,2017-12-1,filing,2017-12-1,2016-4-15,
5th non-regional,2017-12-1,2014-10-01,2017-12-1,2017-12-1,2017-12-1,filing,2017-12-1,2017-12-1,
5th regional,2017-12-1,2014-10-01,2017-12-1,2017-12-1,2017-12-1,filing,2017-12-1,2017-12-1,
1st,2018-1-1,2018-1-1,2018-1-1,2018-1-1,2018-1-1,final,2018-1-1,2018-1-1,
2nd,2018-1-1,2013-8-08,2008-11-22,2018-1-1,2018-1-1,final,2018-1-1,2018-1-1,
3rd,2018-1-1,2014-4-15,2006-11-01,2018-1-1,2016-2-15,final,2018-1-1,2018-1-1,
Other Workers,2018-1-1,2006-12-22,2006-11-01,2018-1-1,2016-2-15,final,2018-1-1,2018-1-1,
4th,2018-1-1,2018-1-1,2018-1-1,2016-6-01,2018-1-1,final,2018-1-1,2015-12-01,
Religious Workers,,,,,,final,2018-1-1,,
5th non-regional,2018-1-1,2014-7-22,2018-1-1,2018-1-1,2018-1-1,final,2018-1-1,2018-1-1,
5th regional,,,,,,final,2018-1-1,,
1st,2018-1-1,2018-1-1,2018-1-1,2018-1-1,2018-1-1,filing,2018-1-1,2018-1-1,
2nd,2018-1-1,2013-11-15,2009-2-08,2018-1-1,2018-1-1,filing,2018-1-1,2018-1-1,
3rd,2018-1-1,2015-9-01,2008-1-01,2018-1-1,2016-8-01,filing,2018-1-1,2018-1-1,
Other Workers,2018-1-1,2008-6-01,2008-1-01,2018-1-1,2016-8-01,filing,2018-1-1,2018-1-1,
4th,2018-1-1,2018-1-1,2018-1-1,2018-1-1,2018-1-1,filing,2018-1-1,2016-4-15,
Religious Workers,2018-1-1,2018-1-1,2018-1-1,2018-1-1,2018-1-1,filing,2018-1-1,2016-4-15,
5th non-regional,2018-1-1,2014-10-01,2018-1-1,2018-1-1,2018-1-1,filing,2018-1-1,2018-1-1,
5th regional,2018-1-1,2014-10-01,2018-1-1,2018-1-1,2018-1-1,filing,2018-1-1,2018-1-1,
1st,2018-2-1,2018-2-1,2018-2-1,2018-2-1,2018-2-1,final,2018-2-1,2018-2-1,
2nd,2018-2-1,2013-10-01,2008-12-08,2018-2-1,2018-2-1,final,2018-2-1,2018-2-1,
3rd,2018-2-1,2014-9-15,2006-12-01,2018-2-1,2016-3-01,final,2018-2-1,2018-2-1,
Other Workers,2018-2-1,2007-2-01,2006-12-01,2018-2-1,2016-3-01,final,2018-2-1,2018-2-1,
4th,2018-2-1,2018-2-1,2018-2-1,2016-6-22,2018-2-1,final,2018-2-1,2015-12-01,
Religious Workers,,,,,,final,2018-2-1,,
5th non-regional,2018-2-1,2014-7-22,2018-2-1,2018-2-1,2018-2-1,final,2018-2-1,2018-2-1,
5th regional,,,,,,final,2018-2-1,,
1st,2018-2-1,2018-2-1,2018-2-1,2018-2-1,2018-2-1,filing,2018-2-1,2018-2-1,
2nd,2018-2-1,2014-11-15,2009-2-08,2018-2-1,2018-2-1,filing,2018-2-1,2018-2-1,
3rd,2018-2-1,2016-1-01,2008-1-01,2018-2-1,2016-8-01,filing,2018-2-1,2018-2-1,
Other Workers,2018-2-1,2008-6-01,2008-1-01,2018-2-1,2016-8-01,filing,2018-2-1,2018-2-1,
4th,2018-2-1,2018-2-1,2018-2-1,2018-2-1,2018-2-1,filing,2018-2-1,2016-4-15,
Religious Workers,2018-2-1,2018-2-1,2018-2-1,2018-2-1,2018-2-1,filing,2018-2-1,2016-4-15,
5th non-regional,2018-2-1,2014-9-01,2018-2-1,2018-2-1,2018-2-1,filing,2018-2-1,2018-2-1,
5th regional,2018-2-1,2014-9-01,2018-2-1,2018-2-1,2018-2-1,filing,2018-2-1,2018-2-1,
1st,2018-3-1,2018-3-1,2018-3-1,2018-3-1,2018-3-1,final,2018-3-1,2018-3-1,
2nd,2018-3-1,2013-12-08,2008-12-15,2018-3-1,2018-3-1,final,2018-3-1,2018-3-1,
3rd,2018-3-1,2014-11-15,2007-1-01,2018-3-1,2016-5-01,final,2018-3-1,2018-3-1,
Other Workers,2018-3-1,2007-3-01,2007-1-01,2018-3-1,2016-5-01,final,2018-3-1,2018-3-1,
4th,2018-3-1,2018-3-1,2018-3-1,2016-7-01,2018-3-1,final,2018-3-1,2015-12-01,
Religious Workers,2018-3-1,2018-3-1,2018-3-1,2016-7-01,2018-3-1,final,2018-3-1,2015-12-01,
5th non-regional,2018-3-1,2014-7-22,2018-3-1,2018-3-1,2018-3-1,final,2018-3-1,2018-3-1,
5th regional,2018-3-1,2014-7-22,2018-3-1,2018-3-1,2018-3-1,final,2018-3-1,2018-3-1,
1st,2018-3-1,2018-3-1,2018-3-1,2018-3-1,2018-3-1,filing,2018-3-1,2018-3-1,
2nd,2018-3-1,2015-2-01,2009-2-08,2018-3-1,2018-3-1,filing,2018-3-1,2018-3-1,
3rd,2018-3-1,2016-1-01,2008-1-01,2018-3-1,2016-10-01,filing,2018-3-1,2018-3-1,
Other Workers,2018-3-1,2008-6-01,2008-1-01,2018-3-1,2016-10-01,filing,2018-3-1,2018-3-1,
4th,2018-3-1,2018-3-1,2018-3-1,2018-3-1,2018-3-1,filing,2018-3-1,2016-4-15,
Religious Workers,2018-3-1,2018-3-1,2018-3-1,2018-3-1,2018-3-1,filing,2018-3-1,2016-4-15,
5th non-regional,2018-3-1,2014-9-01,2018-3-1,2018-3-1,2018-3-1,filing,2018-3-1,2018-3-1,
5th regional,2018-3-1,2014-9-01,2018-3-1,2018-3-1,2018-3-1,filing,2018-3-1,2018-3-1,
1st,2018-4-1,2012-1-01,2012-1-01,2018-4-1,2018-4-1,final,2018-4-1,2018-4-1,
2nd,2018-4-1,2014-8-01,2008-12-22,2018-4-1,2018-4-1,final,2018-4-1,2018-4-1,
3rd,2018-4-1,2015-6-01,2008-2-01,2018-4-1,2017-1-01,final,2018-4-1,2018-4-1,
Other Workers,2018-4-1,2007-4-01,2008-2-01,2018-4-1,2017-1-01,final,2018-4-1,2018-4-1,
4th,2018-4-1,2018-4-1,2018-4-1,2016-8-08,2018-4-1,final,2018-4-1,2015-12-15,
Religious Workers,,,,,,final,2018-4-1,,
5th non-regional,2018-4-1,2014-7-22,2018-4-1,2018-4-1,2018-4-1,final,2018-4-1,2018-4-1,
5th regional,,,,,,final,2018-4-1,,
1st,2018-4-1,2018-4-1,2018-4-1,2018-4-1,2018-4-1,filing,2018-4-1,2018-4-1,
2nd,2018-4-1,2015-2-01,2009-2-08,2018-4-1,2018-4-1,filing,2018-4-1,2018-4-1,
3rd,2018-4-1,2016-1-01,2008-4-01,2018-4-1,2017-7-01,filing,2018-4-1,2018-4-1,
Other Workers,2018-4-1,2008-6-01,2008-4-01,2018-4-1,2017-7-01,filing,2018-4-1,2018-4-1,
4th,2018-4-1,2018-4-1,2018-4-1,2018-4-1,2018-4-1,filing,2018-4-1,2016-4-15,
Religious Workers,2018-4-1,2018-4-1,2018-4-1,2018-4-1,2018-4-1,filing,2018-4-1,2016-4-15,
5th non-regional,2018-4-1,2014-9-01,2018-4-1,2018-4-1,2018-4-1,filing,2018-4-1,2018-4-1,
5th regional,2018-4-1,2014-9-01,2018-4-1,2018-4-1,2018-4-1,filing,2018-4-1,2018-4-1,
1st,2018-5-1,2012-1-01,2012-1-01,2018-5-1,2018-5-1,final,2018-5-1,2018-5-1,2018-5-1
2nd,2018-5-1,2014-9-01,2008-12-22,2018-5-1,2018-5-1,final,2018-5-1,2018-5-1,2018-5-1
3rd,2018-5-1,2015-6-01,2008-5-01,2018-5-1,2017-1-01,final,2018-5-1,2018-5-1,2018-5-1
Other Workers,2018-5-1,2007-5-01,2008-5-01,2018-5-1,2017-1-01,final,2018-5-1,2018-5-1,2018-5-1
4th,2018-5-1,2018-5-1,2018-5-1,2016-10-22,2018-5-1,final,2018-5-1,2015-12-15,2018-5-1
Religious Workers,2018-5-1,2018-5-1,2018-5-1,2016-10-22,2018-5-1,final,2018-5-1,2015-12-15,2018-5-1
5th non-regional,2018-5-1,2014-7-22,2018-5-1,2018-5-1,2018-5-1,final,2018-5-1,2018-5-1,2014-7-22
5th regional,2018-5-1,2014-7-22,2018-5-1,2018-5-1,2018-5-1,final,2018-5-1,2018-5-1,2014-7-22
1st,2018-5-1,2018-5-1,2018-5-1,2018-5-1,2018-5-1,filing,2018-5-1,2018-5-1,
2nd,2018-5-1,2015-2-01,2009-4-01,2018-5-1,2018-5-1,filing,2018-5-1,2018-5-1,
3rd,2018-5-1,2016-1-01,2008-9-01,2018-5-1,2017-7-01,filing,2018-5-1,2018-5-1,
Other Workers,2018-5-1,2008-6-01,2008-9-01,2018-5-1,2017-7-01,filing,2018-5-1,2018-5-1,
4th,2018-5-1,2018-5-1,2018-5-1,2018-5-1,2018-5-1,filing,2018-5-1,2016-4-15,
Religious Workers,2018-5-1,2018-5-1,2018-5-1,2018-5-1,2018-5-1,filing,2018-5-1,2016-4-15,
5th non-regional,2018-5-1,2014-9-01,2018-5-1,2018-5-1,2018-5-1,filing,2018-5-1,2018-5-1,
5th regional,2018-5-1,2014-9-01,2018-5-1,2018-5-1,2018-5-1,filing,2018-5-1,2018-5-1,
1st,2018-6-1,2012-1-01,2012-1-01,2018-6-1,2018-6-1,final,2018-6-1,2018-6-1,2018-6-1
2nd,2018-6-1,2014-9-01,2008-12-26,2018-6-1,2018-6-1,final,2018-6-1,2018-6-1,2018-6-1
3rd,2018-6-1,2015-6-01,2008-5-01,2018-6-1,2017-1-01,final,2018-6-1,2018-6-1,2018-6-1
Other Workers,2018-6-1,2007-5-01,2008-5-01,2018-6-1,2017-1-01,final,2018-6-1,2018-6-1,2018-6-1
4th,2018-6-1,2018-6-1,2018-6-1,2016-10-22,2018-6-1,final,2018-6-1,2015-12-15,2018-6-1
Religious Workers,2018-6-1,2018-6-1,2018-6-1,2016-10-22,2018-6-1,final,2018-6-1,2015-12-15,2018-6-1
5th non-regional,2018-6-1,2014-8-01,2018-6-1,2018-6-1,2018-6-1,final,2018-6-1,2018-6-1,2014-8-01
5th regional,2018-6-1,2014-8-01,2018-6-1,2018-6-1,2018-6-1,final,2018-6-1,2018-6-1,2014-8-01
1st,2018-6-1,2018-6-1,2018-6-1,2018-6-1,2018-6-1,filing,2018-6-1,2018-6-1,
2nd,2018-6-1,2015-2-01,2009-4-01,2018-6-1,2018-6-1,filing,2018-6-1,2018-6-1,
3rd,2018-6-1,2016-1-01,2008-9-01,2018-6-1,2017-7-01,filing,2018-6-1,2018-6-1,
Other Workers,2018-6-1,2008-6-01,2008-9-01,2018-6-1,2017-7-01,filing,2018-6-1,2018-6-1,
4th,2018-6-1,2018-6-1,2018-6-1,2018-6-1,2018-6-1,filing,2018-6-1,2016-4-15,
Religious Workers,2018-6-1,2018-6-1,2018-6-1,2018-6-1,2018-6-1,filing,2018-6-1,2016-4-15,
5th non-regional,2018-6-1,2014-9-01,2018-6-1,2018-6-1,2018-6-1,filing,2018-6-1,2018-6-1,
5th regional,2018-6-1,2014-9-01,2018-6-1,2018-6-1,2018-6-1,filing,2018-6-1,2018-6-1,
1st,2018-7-1,2012-1-01,2012-1-01,2018-7-1,2018-7-1,final,2018-7-1,2018-7-1,2018-7-1
2nd,2018-7-1,2015-1-01,2009-3-15,2018-7-1,2018-7-1,final,2018-7-1,2018-7-1,2018-7-1
3rd,2018-7-1,2013-1-01,2008-11-01,2018-7-1,2017-1-01,final,2018-7-1,2018-7-1,2018-7-1
Other Workers,2018-7-1,2007-5-01,2008-11-01,2018-7-1,2017-1-01,final,2018-7-1,2018-7-1,2018-7-1
4th,2018-7-1,2018-7-1,2018-7-1,2016-2-08,2018-7-1,final,2018-7-1,2016-2-08,2018-7-1
Religious Workers,2018-7-1,2018-7-1,2018-7-1,2016-2-08,2018-7-1,final,2018-7-1,2016-2-08,2018-7-1
5th non-regional,2018-7-1,2014-8-01,2018-7-1,2018-7-1,2018-7-1,final,2018-7-1,2018-7-1,2014-8-01
5th regional,2018-7-1,2014-8-01,2018-7-1,2018-7-1,2018-7-1,final,2018-7-1,2018-7-1,2014-8-01
1st,2018-7-1,2018-7-1,2018-7-1,2018-7-1,2018-7-1,filing,2018-7-1,2018-7-1,
2nd,2018-7-1,2015-4-01,2009-5-22,2018-7-1,2018-7-1,filing,2018-7-1,2018-7-1,
3rd,2018-7-1,2016-1-01,2009-5-01,2018-7-1,2017-7-01,filing,2018-7-1,2018-7-1,
Other Workers,2018-7-1,2008-6-01,2009-5-01,2018-7-1,2017-7-01,filing,2018-7-1,2018-7-1,
4th,2018-7-1,2018-7-1,2018-7-1,2018-7-1,2018-7-1,filing,2018-7-1,2016-5-01,
Religious Workers,2018-7-1,2018-7-1,2018-7-1,2018-7-1,2018-7-1,filing,2018-7-1,2016-5-01,
5th non-regional,2018-7-1,2014-10-01,2018-7-1,2018-7-1,2018-7-1,filing,2018-7-1,2018-7-1,
5th regional,2018-7-1,2014-10-01,2018-7-1,2018-7-1,2018-7-1,filing,2018-7-1,2018-7-1,
1st,2016-5-01,2012-1-01,2012-1-01,2016-5-01,2016-5-01,final,2018-8-1,2016-5-01,2016-5-01
2nd,2018-8-1,2015-3-01,2009-3-15,2018-8-1,2018-8-1,final,2018-8-1,2018-8-1,2018-8-1
3rd,2018-8-1,2014-7-01,2009-1-01,2018-8-1,2017-6-01,final,2018-8-1,2018-8-1,2018-8-1
Other Workers,2018-8-1,2007-5-01,2009-1-01,2018-8-1,2017-6-01,final,2018-8-1,2018-8-1,2018-8-1
4th,2018-8-1,2018-8-1,2016-2-08,2016-2-08,2018-8-1,final,2018-8-1,2016-2-08,2018-8-1
Religious Workers,2018-8-1,2018-8-1,2016-2-08,2016-2-08,2018-8-1,final,2018-8-1,2016-2-08,2018-8-1
5th non-regional,2018-8-1,2014-8-01,2018-8-1,2018-8-1,2018-8-1,final,2018-8-1,2018-8-1,2014-8-01
5th regional,2018-8-1,2014-8-01,2018-8-1,2018-8-1,2018-8-1,final,2018-8-1,2018-8-1,2014-8-01
1st,2018-8-1,2018-8-1,2018-8-1,2018-8-1,2018-8-1,filing,2018-8-1,2018-8-1,
2nd,2018-8-1,2015-4-01,2009-5-22,2018-8-1,2018-8-1,filing,2018-8-1,2018-8-1,
3rd,2018-8-1,2016-1-01,2009-5-01,2018-8-1,2017-7-01,filing,2018-8-1,2018-8-1,
Other Workers,2018-8-1,2008-6-01,2009-5-01,2018-8-1,2017-7-01,filing,2018-8-1,2018-8-1,
4th,2018-8-1,2018-8-1,2018-8-1,2018-8-1,2018-8-1,filing,2018-8-1,2016-5-01,
